"","p.value","cor_estimate"
"ENSG00000005483",3.76828432295147e-18,0.854617912927749
"ENSG00000055609",4.07405591167099e-16,0.82671802180826
"ENSG00000060237",8.61951113241765e-17,0.836572197010875
"ENSG00000082438",1.05488442383604e-15,0.820359110649246
"ENSG00000086758",1.46079850305629e-15,0.818124078380499
"ENSG00000087245",2.30936193487623e-16,0.830393471731866
"ENSG00000095787",6.66961145658516e-15,0.807280938677319
"ENSG00000112562",8.02099018328057e-15,0.805915017803823
"ENSG00000117523",1.27295156139908e-16,0.834157860070677
"ENSG00000118058",1.91727239749508e-15,0.81623354348173
"ENSG00000119812",8.5541354205053e-15,0.805436039311769
"ENSG00000131023",1.04326523771656e-15,0.820434611449231
"ENSG00000134250",1.89015481803781e-15,0.816333121880661
"ENSG00000145012",2.70107815295193e-16,0.829387694278986
"ENSG00000147862",5.41743693258197e-15,0.80880749005171
"ENSG00000163864",4.07430136541744e-18,0.854195095868028
"ENSG00000173482",6.35930390463156e-15,0.807631901960797
"ENSG00000173517",1.49378000954197e-14,0.801230709361511
"ENSG00000174749",3.17483560189091e-16,0.828343405262021
"ENSG00000181722",7.11820654265202e-15,0.806800257252925
"ENSG00000197563",1.35442300653606e-15,0.818645893118866
"ENSG00000245532",0,1
